Classification      Rider               Rider No.           Country             Team                Time (hh:mm:ss)     
1                   POGACAR             131                 Slovenia            UAD                 87:20:05
2                   ROGLIC              11                  Slovenia            TJV                 87:21:04
3                   PORTE               101                 Australia           TFS                 87:23:35
4                   LANDA               61                  Spain               TBM                 87:26:03
5                   MAS                 94                  Spain               MOV                 87:26:12
6                   ANGEL-LOPEZ         141                 Colombia            AST                 87:26:52
7                   DUMOULIN            14                  Netherlands         TJV                 87:27:53
8                   URAN                71                  Colombia            EFN                 87:28:07
9                   YATES               161                 England             MTS                 87:29:30
10                  CARUSO              63                  Italy               TBM                 87:34:08
11                  MARTIN              121                 France              COF                 87:37:03
12                  VALVERDE            91                  Spain               MOV                 87:37:46
13                  CARAPAZ             3                   Ecuador             IGD                 87:45:58
14                  BARGUIL             83                  France              ARK                 87:51:09
15                  KUSS                16                  USA                 TJV                 88:02:25
16                  BILBAO              62                  Spain               TBM                 88:16:01
17                  QUINTANA            81                  Colombia            ARK                 88:23:12
18                  ROLLAND             218                 France              BVC                 88:28:31
19                  VERONA              98                  Spain               MOV                 88:39:59
20                  VANAERT             18                  Belgium             TJV                 88:40:36
21                  SOLER               97                  Spain               MOV                 88:51:58
22                  IZAGUIRRE-INSAUSTI  144                 Spain               AST                 88:56:17
23                  CHAVES              164                 Colombia            MTS                 88:58:50
24                  REICHENBACH         58                  Switzerland         GFC                 88:59:32
25                  ELISSONDE           103                 France              TFS                 89:00:11
26                  CHEREL              32                  France              ACT                 89:00:56
27                  MADOUAS             56                  France              GFC                 89:02:48
28                  MARTINEZ            76                  Colombia            EFN                 89:15:17
29                  PINOT               51                  France              GFC                 89:19:59
30                  KWIATKOWSKI         5                   Poland              IGD                 89:26:37
31                  SICARD              186                 France              TDE                 89:33:07
32                  SANCHEZ             147                 Spain               AST                 89:33:52
33                  KAMNA               24                  Germany             BOH                 89:35:44
34                  BENNETT             12                  NewZealand          TJV                 89:35:54
35                  VUILLERMOZ          38                  France              ACT                 89:36:24
36                  ALAPHILIPPE         41                  France              DQT                 89:39:16
37                  CARTHY              73                  England             EFN                 89:40:36
38                  BUCHMANN            22                  Germany             BOH                 89:42:02
39                  MOLARD              57                  France              GFC                 89:46:58
40                  POLANC              138                 Slovenia            UAD                 89:49:59
41                  MARTIN              171                 Ireland             ISN                 89:50:30
42                  GESINK              15                  Netherlands         TJV                 89:50:40
43                  JUNGELS             47                  Luxembourg          DQT                 89:53:35
44                  HERRADA             124                 Spain               COF                 89:54:55
45                  TEJADA              148                 Colombia            AST                 89:57:07
46                  LUTSENKO            146                 Kazakhstan          AST                 89:59:42
47                  HOULE               143                 Canada              AST                 89:59:59
48                  GESCHKE             113                 Germany             IWG                 90:04:32
49                  EDET                123                 France              COF                 90:08:49
50                  VANAVERMAET         111                 Belgium             IWG                 90:09:55
51                  EG                  102                 Denmark             TFS                 90:10:09
52                  DEGENDT             154                 Belgium             LTS                 90:12:01
53                  PACHER              216                 France              BVC                 90:14:22
54                  HIRSCHI             204                 Switzerland         DSM                 90:14:39
55                  OLIVEIRA            95                  Portugal            MOV                 90:21:46
56                  POWLESS             77                  USA                 EFN                 90:23:14
57                  SCHACHMANN          28                  Germany             BOH                 90:23:33
58                  ANDERSEN            205                 Denmark             DSM                 90:26:31
59                  VANBAARLE           8                   Netherlands         IGD                 90:27:47
60                  FRAILE              142                 Spain               AST                 90:33:46
61                  NAESEN              35                  Belgium             ACT                 90:42:09
62                  BETTIOL             72                  Italy               EFN                 90:45:00
63                  GROSSSCHARTNER      23                  Austria             BOH                 90:45:22
64                  ROCHE               208                 Ireland             DSM                 90:47:18
65                  PETERS              36                  France              ACT                 90:47:51
66                  ANACONA             82                  Colombia            ARK                 90:52:45
67                  HIRT                114                 CzechRepublic       IWG                 90:55:03
68                  HERMANS             173                 Belgium             ISN                 90:57:17
69                  SCHAR               116                 Switzerland         IWG                 90:59:00
70                  ROJAS               96                  Spain               MOV                 91:00:54
71                  STUYVEN             107                 Belgium             TFS                 91:00:57
72                  DELACRUZ            133                 Spain               UAD                 91:01:25
73                  HUNDAHL-VALGREN     195                 Denmark             TQA                 91:01:50
74                  ERVITI              93                  Spain               MOV                 91:08:05
75                  BENOOT              201                 Belgium             DSM                 91:08:55
76                  MOHORIC             66                  Slovenia            TBM                 91:09:07
77                  AMADOR              2                   CostaRica           IGD                 91:09:09
78                  GAUTIER             215                 France              BVC                 91:12:02
79                  TRENTIN             117                 Italy               IWG                 91:12:15
80                  CATALDO             92                  Italy               MOV                 91:12:56
81                  SKUJINS             106                 Latvia              TFS                 91:13:14
82                  LAENGDEN            136                 Norway              UAD                 91:13:22
83                  BAUER               162                 NewZealand          MTS                 91:20:39
84                  SAGAN               21                  Slovakia            BOH                 91:24:20
85                  NEILANDS            175                 Latvia              ISN                 91:31:08
86                  PERICHON            127                 France              COF                 91:34:33
87                  SIVAKOV             7                   Russia              IGD                 91:35:43
88                  MEZGEC              167                 Slovenia            MTS                 91:37:12
89                  KEUKELEIRE          75                  Belgium             EFN                 91:38:52
90                  DEVENYNS            46                  Belgium             DQT                 91:40:46
91                  VANGARDEREN         78                  USA                 EFN                 91:42:25
92                  PEDERSEN            207                 Denmark             DSM                 91:44:18
93                  COLBRELLI           64                  Italy               TBM                 91:44:47
94                  LADAGNOUS           55                  France              GFC                 91:44:57
95                  QUINTANA            85                  Colombia            ARK                 91:45:55
96                  BARTHE              212                 France              BVC                 91:47:12
97                  IMPEY               165                 SouthAfrica         MTS                 91:48:44
98                  VANASBROECK         178                 Belgium             ISN                 91:53:22
99                  JENSEN              166                 Denmark             MTS                 91:54:08
100                 DEMARCHI            112                 Italy               IWG                 91:54:11
101                 BOASSONHAGEN        192                 Norway              TQA                 91:54:24
102                 LEDANOIS            84                  France              ARK                 91:55:53
103                 NIEUWENHUIS         206                 Netherlands         DSM                 91:58:55
104                 VENTURINI           37                  France              ACT                 91:59:13
105                 OSS                 26                  Italy               BOH                 92:00:51
106                 SWIFT               88                  England             ARK                 92:02:04
107                 LAPORTE             125                 France              COF                 92:04:35
108                 TURGIS              188                 France              TDE                 92:05:02
109                 KREUZIGER           196                 CzechRepublic       TQA                 92:05:31
110                 POELS               67                  Netherlands         TBM                 92:07:28
111                 MARCATO             137                 Italy               UAD                 92:08:52
112                 CONSONNI            122                 Italy               COF                 92:13:55
113                 CAVAGNA             44                  France              DQT                 92:18:51
114                 ASGREEN             42                  Denmark             DQT                 92:20:09
115                 HOFSTETTER          174                 France              ISN                 92:20:19
116                 COSNEFROY           33                  France              ACT                 92:20:48
117                 GRELLIER            185                 France              TDE                 92:21:37
118                 MARTIN              17                  Germany             TJV                 92:25:33
119                 THEUNS              108                 Belgium             TFS                 92:28:15
120                 POLITT              177                 Germany             ISN                 92:29:07
121                 GIBBONS             193                 SouthAfrica         TQA                 92:29:37
122                 COQUARD             211                 France              BVC                 92:30:37
123                 SOUPE               187                 France              TDE                 92:30:45
124                 PEDERSEN            105                 Denmark             TFS                 92:31:08
125                 KOCH                115                 Germany             IWG                 92:32:09
126                 ARNDT               202                 Germany             DSM                 92:33:16
127                 DECLERCQ            45                  Belgium             DQT                 92:34:57
128                 JANSEN              13                  Norway              TJV                 92:37:33
129                 ROWE                6                   England             IGD                 92:37:55
130                 MORKOV              48                  Denmark             DQT                 92:46:26
131                 BURGAUDEAU          182                 France              TDE                 92:47:43
132                 KRISTOFF            135                 Norway              UAD                 92:48:33
133                 RUSSO               87                  France              ARK                 92:48:50
134                 WALSCHEID           198                 Germany             TQA                 92:49:43
135                 VIVIANI             128                 Italy               COF                 92:50:06
136                 CHEVALIER           213                 France              BVC                 92:51:35
137                 REZA                217                 France              BVC                 92:51:42
138                 BENNETT             43                  Ireland             DQT                 92:52:38
139                 NIV                 176                 Israel              ISN                 92:54:48
140                 BOL                 203                 Netherlands         DSM                 92:58:21
141                 BONIFAZIO           181                 Italy               TDE                 93:02:18
142                 DEBUYST             153                 Belgium             LTS                 93:03:12
143                 HALLER              65                  Austria             TBM                 93:06:32
144                 EWAN                151                 Australia           LTS                 93:10:30
145                 FRISON              156                 Belgium             LTS                 93:21:53
146                 KLUGE               158                 Germany             LTS                 93:27:07
