Country             Rider               Classification      Time (hh:mm:ss)     
Australia           EWAN                144                 93:10:30
Australia           PORTE               3                   87:23:35
Austria             GROSSSCHARTNER      63                  90:45:22
Austria             HALLER              143                 93:06:32
Belgium             BENOOT              75                  91:08:55
Belgium             DEBUYST             142                 93:03:12
Belgium             DECLERCQ            127                 92:34:57
Belgium             DEGENDT             52                  90:12:01
Belgium             DEVENYNS            90                  91:40:46
Belgium             FRISON              145                 93:21:53
Belgium             HERMANS             68                  90:57:17
Belgium             KEUKELEIRE          89                  91:38:52
Belgium             NAESEN              61                  90:42:09
Belgium             STUYVEN             71                  91:00:57
Belgium             THEUNS              119                 92:28:15
Belgium             VANAERT             20                  88:40:36
Belgium             VANASBROECK         98                  91:53:22
Belgium             VANAVERMAET         50                  90:09:55
Canada              HOULE               47                  89:59:59
Colombia            ANACONA             66                  90:52:45
Colombia            ANGEL-LOPEZ         6                   87:26:52
Colombia            CHAVES              23                  88:58:50
Colombia            MARTINEZ            28                  89:15:17
Colombia            QUINTANA            17                  88:23:12
Colombia            QUINTANA            95                  91:45:55
Colombia            TEJADA              45                  89:57:07
Colombia            URAN                8                   87:28:07
CostaRica           AMADOR              77                  91:09:09
CzechRepublic       HIRT                67                  90:55:03
CzechRepublic       KREUZIGER           109                 92:05:31
Denmark             ANDERSEN            58                  90:26:31
Denmark             ASGREEN             114                 92:20:09
Denmark             EG                  51                  90:10:09
Denmark             HUNDAHL-VALGREN     73                  91:01:50
Denmark             JENSEN              99                  91:54:08
Denmark             MORKOV              130                 92:46:26
Denmark             PEDERSEN            92                  91:44:18
Denmark             PEDERSEN            124                 92:31:08
Ecuador             CARAPAZ             13                  87:45:58
England             CARTHY              37                  89:40:36
England             ROWE                129                 92:37:55
England             SWIFT               106                 92:02:04
England             YATES               9                   87:29:30
France              ALAPHILIPPE         36                  89:39:16
France              BARGUIL             14                  87:51:09
France              BARTHE              96                  91:47:12
France              BURGAUDEAU          131                 92:47:43
