Team                Rider No.           Rider               Time (hh:mm:ss)     
IGD                 2                   AMADOR              91:09:09
IGD                 3                   CARAPAZ             87:45:58
IGD                 5                   KWIATKOWSKI         89:26:37
IGD                 6                   ROWE                92:37:55
IGD                 7                   SIVAKOV             91:35:43
IGD                 8                   VANBAARLE           90:27:47
TJV                 11                  ROGLIC              87:21:04
TJV                 12                  BENNETT             89:35:54
TJV                 13                  JANSEN              92:37:33
TJV                 14                  DUMOULIN            87:27:53
TJV                 15                  GESINK              89:50:40
TJV                 16                  KUSS                88:02:25
TJV                 17                  MARTIN              92:25:33
TJV                 18                  VANAERT             88:40:36
BOH                 21                  SAGAN               91:24:20
BOH                 22                  BUCHMANN            89:42:02
BOH                 23                  GROSSSCHARTNER      90:45:22
BOH                 24                  KAMNA               89:35:44
BOH                 26                  OSS                 92:00:51
BOH                 28                  SCHACHMANN          90:23:33
ACT                 32                  CHEREL              89:00:56
ACT                 33                  COSNEFROY           92:20:48
ACT                 35                  NAESEN              90:42:09
ACT                 36                  PETERS              90:47:51
ACT                 37                  VENTURINI           91:59:13
ACT                 38                  VUILLERMOZ          89:36:24
DQT                 41                  ALAPHILIPPE         89:39:16
DQT                 42                  ASGREEN             92:20:09
DQT                 43                  BENNETT             92:52:38
DQT                 44                  CAVAGNA             92:18:51
DQT                 45                  DECLERCQ            92:34:57
DQT                 46                  DEVENYNS            91:40:46
DQT                 47                  JUNGELS             89:53:35
DQT                 48                  MORKOV              92:46:26
GFC                 51                  PINOT               89:19:59
GFC                 55                  LADAGNOUS           91:44:57
GFC                 56                  MADOUAS             89:02:48
GFC                 57                  MOLARD              89:46:58
GFC                 58                  REICHENBACH         88:59:32
TBM                 61                  LANDA               87:26:03
TBM                 62                  BILBAO              88:16:01
TBM                 63                  CARUSO              87:34:08
TBM                 64                  COLBRELLI           91:44:47
TBM                 65                  HALLER              93:06:32
TBM                 66                  MOHORIC             91:09:07
TBM                 67                  POELS               92:07:28
EFN                 71                  URAN                87:28:07
EFN                 72                  BETTIOL             90:45:00
EFN                 73                  CARTHY              89:40:36
EFN                 75                  KEUKELEIRE          91:38:52
EFN                 76                  MARTINEZ            89:15:17
EFN                 77                  POWLESS             90:23:14
EFN                 78                  VANGARDEREN         91:42:25
ARK                 81                  QUINTANA            88:23:12
ARK                 82                  ANACONA             90:52:45
ARK                 83                  BARGUIL             87:51:09
ARK                 84                  LEDANOIS            91:55:53
ARK                 85                  QUINTANA            91:45:55
ARK                 87                  RUSSO               92:48:50
ARK                 88                  SWIFT               92:02:04
MOV                 91                  VALVERDE            87:37:46
MOV                 92                  CATALDO             91:12:56
MOV                 93                  ERVITI              91:08:05
MOV                 94                  MAS                 87:26:12
MOV                 95                  OLIVEIRA            90:21:46
MOV                 96                  ROJAS               91:00:54
MOV                 97                  SOLER               88:51:58
MOV                 98                  VERONA              88:39:59
TFS                 101                 PORTE               87:23:35
TFS                 102                 EG                  90:10:09
TFS                 103                 ELISSONDE           89:00:11
TFS                 105                 PEDERSEN            92:31:08
TFS                 106                 SKUJINS             91:13:14
TFS                 107                 STUYVEN             91:00:57
TFS                 108                 THEUNS              92:28:15
IWG                 111                 VANAVERMAET         90:09:55
IWG                 112                 DEMARCHI            91:54:11
IWG                 113                 GESCHKE             90:04:32
IWG                 114                 HIRT                90:55:03
IWG                 115                 KOCH                92:32:09
IWG                 116                 SCHAR               90:59:00
IWG                 117                 TRENTIN             91:12:15
COF                 121                 MARTIN              87:37:03
COF                 122                 CONSONNI            92:13:55
COF                 123                 EDET                90:08:49
COF                 124                 HERRADA             89:54:55
COF                 125                 LAPORTE             92:04:35
COF                 127                 PERICHON            91:34:33
COF                 128                 VIVIANI             92:50:06
UAD                 131                 POGACAR             87:20:05
UAD                 133                 DELACRUZ            91:01:25
UAD                 135                 KRISTOFF            92:48:33
UAD                 136                 LAENGDEN            91:13:22
UAD                 137                 MARCATO             92:08:52
UAD                 138                 POLANC              89:49:59
AST                 141                 ANGEL-LOPEZ         87:26:52
AST                 142                 FRAILE              90:33:46
AST                 143                 HOULE               89:59:59
AST                 144                 IZAGUIRRE-INSAUSTI  88:56:17
AST                 146                 LUTSENKO            89:59:42
AST                 147                 SANCHEZ             89:33:52
AST                 148                 TEJADA              89:57:07
LTS                 151                 EWAN                93:10:30
LTS                 153                 DEBUYST             93:03:12
LTS                 154                 DEGENDT             90:12:01
LTS                 156                 FRISON              93:21:53
LTS                 158                 KLUGE               93:27:07
MTS                 161                 YATES               87:29:30
MTS                 162                 BAUER               91:20:39
